Date,Value
4/22/19,426630
4/21/19,456520
4/20/19,597098
4/19/19,563075
4/18/19,555678
4/17/19,560007
4/16/19,576183
4/15/19,430064
4/14/19,458376
4/13/19,578099
4/12/19,620631
4/11/19,593178
4/10/19,572096
4/9/19,579028
4/8/19,447559
4/7/19,478034
4/6/19,632546
4/5/19,603757
4/4/19,626468
4/3/19,666741
4/2/19,528288
4/1/19,459478
3/31/19,513840
3/30/19,563925
3/29/19,578059
3/28/19,569697
3/27/19,522961
3/26/19,530401
3/25/19,417726
3/24/19,450872
3/23/19,550986
3/22/19,535702
3/21/19,538723
3/20/19,551374
3/19/19,533680
3/18/19,413098
3/17/19,468300
3/16/19,558693
3/15/19,551001
3/14/19,515962
3/13/19,532589
3/12/19,554792
3/11/19,392557
3/10/19,458538
3/9/19,545571
3/8/19,524085
3/7/19,524992
3/6/19,536821
3/5/19,506186
3/4/19,420093
3/3/19,481021
3/2/19,552623
3/1/19,523892
2/28/19,519740
2/27/19,532149
2/26/19,502106
2/25/19,433694
2/24/19,441275
2/23/19,542172
2/22/19,491327
2/21/19,521878
2/20/19,538532
2/19/19,508261
2/18/19,393160
2/17/19,452438
2/16/19,467228
2/15/19,473265
2/14/19,546276
2/13/19,486292
2/12/19,463119
2/11/19,380922
2/10/19,422178
2/9/19,516886
2/8/19,474847
2/7/19,482655
2/6/19,503603
2/5/19,456122
2/4/19,389608
2/3/19,418174
2/2/19,502881
2/1/19,487936
1/31/19,462721
1/30/19,480702
1/29/19,481279
1/28/19,383276
1/27/19,444594
1/26/19,492261
1/25/19,470446
1/24/19,482794
1/23/19,450118
1/22/19,449403
1/21/19,379373
1/20/19,400052
1/19/19,484529
1/18/19,462878
1/17/19,493981
1/16/19,466211
1/15/19,455376
1/14/19,372206
1/13/19,396627
1/12/19,486649
1/11/19,489565
1/10/19,463345
1/9/19,465084
1/8/19,448075
1/7/19,389293
1/6/19,385488
1/5/19,454701
1/4/19,450625
1/3/19,415821
1/2/19,310119
1/1/19,391030
12/31/18,391258
12/30/18,423955
12/29/18,485693
12/28/18,434317
12/27/18,397074
12/26/18,353051
12/25/18,419724
12/24/18,371647
12/23/18,386812
12/22/18,492725
12/21/18,475405
12/20/18,495567
12/19/18,461772
12/18/18,466783
12/17/18,364387
12/16/18,397643
12/15/18,464523
12/14/18,439017
12/13/18,439269
12/12/18,432510
12/11/18,443066
12/10/18,364578
12/9/18,382549
12/8/18,495220
12/7/18,480399
12/6/18,438437
12/5/18,492964
12/4/18,426799
12/3/18,364378
12/2/18,420224
12/1/18,460122
11/30/18,461334
11/29/18,454763
11/28/18,462321
11/27/18,469612
11/26/18,410529
11/25/18,406860
11/24/18,479021
11/23/18,467174
11/22/18,472551
11/21/18,543710
11/20/18,470246
11/19/18,393875
11/18/18,428639
11/17/18,533314
11/16/18,523898
11/15/18,524969
11/14/18,491740
11/13/18,510341
11/12/18,422962
11/11/18,448642
11/10/18,541363
11/9/18,498003
11/8/18,522947
11/7/18,519341
11/6/18,536752
11/5/18,412573
11/4/18,453207
11/3/18,565268
11/2/18,505057
11/1/18,510366
10/31/18,505403
10/30/18,495173
10/29/18,403763
10/28/18,418913
10/27/18,503383
10/26/18,474714
10/25/18,478550
10/24/18,487825
10/23/18,489859
10/22/18,403198
10/21/18,428969
10/20/18,504470
10/19/18,479719
10/18/18,490530
10/17/18,490755
10/16/18,502795
10/15/18,378042
10/14/18,400480
10/13/18,498114
10/12/18,499967
10/11/18,482434
10/10/18,463256
10/9/18,477297
10/8/18,444617
10/7/18,441964
10/6/18,533086
10/5/18,506879
10/4/18,552112
10/3/18,484846
10/2/18,484982
10/1/18,413888
9/30/18,429818
9/29/18,527057
9/28/18,481907
9/27/18,474079
9/26/18,490588
9/25/18,469028
9/24/18,401263
9/23/18,445041
9/22/18,563130
9/21/18,493140
9/20/18,480227
9/19/18,479308
9/18/18,481967
9/17/18,370211
9/16/18,427957
9/15/18,471372
9/14/18,466216
9/13/18,461585
9/12/18,474060
9/11/18,451964
9/10/18,387388
9/9/18,414918
9/8/18,539382
9/7/18,501000
9/6/18,497297
9/5/18,474898
9/4/18,455956
9/3/18,387888
9/2/18,437403
9/1/18,511306
8/31/18,463656
8/30/18,509196
8/29/18,488604
8/28/18,464083
8/27/18,368937
8/26/18,415347
8/25/18,487990
8/24/18,444345
8/23/18,484462
8/22/18,449915
8/21/18,459855
8/20/18,402086
8/19/18,399288
8/18/18,512304
8/17/18,479346
8/16/18,539382
8/15/18,514444
8/14/18,459525
8/13/18,361543
8/12/18,389255
8/11/18,510029
8/10/18,467196
8/9/18,498557
8/8/18,477950
8/7/18,452409
8/6/18,374556
8/5/18,416160
8/4/18,537622
8/3/18,470016
8/2/18,495639
8/1/18,500311
7/31/18,479274
7/30/18,380500
7/29/18,395733
7/28/18,517777
7/27/18,479849
7/26/18,525951
7/25/18,532883
7/24/18,473605
7/23/18,366445
7/22/18,385949
7/21/18,496859
7/20/18,465956
7/19/18,494822
7/18/18,487159
7/17/18,431582
7/16/18,346482
7/15/18,362895
7/14/18,473174
7/13/18,405287
7/12/18,413228
7/11/18,445233
7/10/18,425384
7/9/18,350856
7/8/18,357620
7/7/18,529417
7/6/18,413997
7/5/18,435401
7/4/18,456149
7/3/18,433257
7/2/18,341861
7/1/18,368307
6/30/18,453050
6/29/18,396405
6/28/18,397865
6/27/18,410397
6/26/18,415602
6/25/18,350051
6/24/18,368136
6/23/18,469522
6/22/18,421061
6/21/18,425848
6/20/18,413609
6/19/18,424738
6/18/18,326153
6/17/18,343364
6/16/18,476262
6/15/18,440335
6/14/18,458586
6/13/18,447809
6/12/18,446187
6/11/18,392108
6/10/18,370066
6/9/18,477385
6/8/18,433803
6/7/18,451993
6/6/18,460259
6/5/18,449727
6/4/18,369974
6/3/18,386673
6/2/18,551182
6/1/18,454485
5/31/18,443064
5/30/18,442313
5/29/18,407910
5/28/18,337617
5/27/18,356715
5/26/18,464173
5/25/18,447545
5/24/18,481668
5/23/18,441615
5/22/18,445195
5/21/18,369970
5/20/18,378135
5/19/18,499647
5/18/18,420624
5/17/18,455066
5/16/18,477898
5/15/18,469797
5/14/18,364084
5/13/18,434890
5/12/18,510498
5/11/18,465045
5/10/18,459142
5/9/18,480689
5/8/18,450523
5/7/18,386314
