Date,Value
5/27/18,158783
5/26/18,196181
5/25/18,206825
5/24/18,223196
5/23/18,203337
5/22/18,202647
5/21/18,158663
5/20/18,173274
5/19/18,211496
5/18/18,192683
5/17/18,208463
5/16/18,214779
5/15/18,209697
5/14/18,158794
5/13/18,182054
5/12/18,213624
5/11/18,208961
5/10/18,206579
5/9/18,217810
5/8/18,205063
5/7/18,171761
5/6/18,202703
5/5/18,219069
5/4/18,228521
5/3/18,212296
5/2/18,199959
5/1/18,215107
4/30/18,180798
4/29/18,203681
4/28/18,211119
4/27/18,216732
4/26/18,213155
4/25/18,254493
4/24/18,226353
4/23/18,171870
4/22/18,193975
4/21/18,207777
4/20/18,213523
4/19/18,200740
4/18/18,201820
4/17/18,196106
4/16/18,174031
4/15/18,161843
4/14/18,217282
4/13/18,210879
4/12/18,183248
4/11/18,186415
4/10/18,176563
4/9/18,138535
4/8/18,154639
4/7/18,172889
4/6/18,181832
4/5/18,185710
4/4/18,198919
4/3/18,168178
4/2/18,135129
4/1/18,148617
3/31/18,185940
3/30/18,192411
3/29/18,177521
3/28/18,187065
3/27/18,187850
3/26/18,135274
3/25/18,157087
3/24/18,179818
3/23/18,185187
3/22/18,194846
3/21/18,195168
3/20/18,191528
3/19/18,164401
3/18/18,154496
3/17/18,186979
3/16/18,206186
3/15/18,191042
3/14/18,196140
3/13/18,188394
3/12/18,150884
3/11/18,156228
3/10/18,198180
3/9/18,196422
3/8/18,213978
3/7/18,206016
3/6/18,201438
3/5/18,160231
3/4/18,177024
3/3/18,195073
3/2/18,233744
3/1/18,189223
2/28/18,219624
2/27/18,186474
2/26/18,144869
2/25/18,154534
2/24/18,185193
2/23/18,183235
2/22/18,205201
2/21/18,198455
2/20/18,187367
2/19/18,159495
2/18/18,173789
2/17/18,187738
2/16/18,198183
2/15/18,196417
2/14/18,182984
2/13/18,186918
2/12/18,147208
2/11/18,181783
2/10/18,177860
2/9/18,173289
2/8/18,213719
2/7/18,244120
2/6/18,216363
2/5/18,173687
2/4/18,194891
2/3/18,235918
2/2/18,257664
2/1/18,204276
1/31/18,236609
1/30/18,232176
1/29/18,213446
1/28/18,193578
1/27/18,220459
1/26/18,236580
1/25/18,250423
1/24/18,271936
1/23/18,245562
1/22/18,215622
1/21/18,240611
1/20/18,243619
1/19/18,309495
1/18/18,315771
1/17/18,303725
1/16/18,273623
1/15/18,235045
1/14/18,265735
1/13/18,300091
1/12/18,337959
1/11/18,347393
1/10/18,360265
1/9/18,345672
1/8/18,368187
1/7/18,358847
1/6/18,342707
1/5/18,425008
1/4/18,395963
1/3/18,340980
1/2/18,241757
1/1/18,290422
12/31/17,344407
12/30/17,353824
12/29/17,305053
12/28/17,307642
12/27/17,247440
12/26/17,228926
12/25/17,279523
12/24/17,308211
12/23/17,380648
12/22/17,335482
12/21/17,370277
12/20/17,378622
12/19/17,394239
12/18/17,391910
12/17/17,364222
12/16/17,405676
12/15/17,490644
12/14/17,424579
12/13/17,372977
12/12/17,368598
12/11/17,341420
12/10/17,403399
12/9/17,385092
12/8/17,372345
12/7/17,443587
12/6/17,405709
12/5/17,400686
12/4/17,353044
12/3/17,326354
12/2/17,412908
12/1/17,384386
11/30/17,398090
11/29/17,365977
11/28/17,379256
11/27/17,329677
11/26/17,336689
11/25/17,305735
11/24/17,352207
11/23/17,256709
11/22/17,371091
11/21/17,336204
11/20/17,264855
11/19/17,270874
